"id","Area","count"
"1","浦东新区","183"
"2","渝中区","126"
"3","大兴区","113"
"4","朝阳区","67"
"5","白云区","65"
"6","渝北区","57"
"7","天河区","56"
"8","闵行区","50"
"9","长宁区","47"
"10","海淀区","44"
"11","洪山区","43"
"12","宝安区","42"
"13","武昌区","37"
"14","萧山区","36"
"15","玄武区","34"
"16","顺义区","32"
"17","思明区","27"
"18","沙坪坝区","27"
"19","长安区","25"
"20","鼓楼区","25"
"21","福田区","25"
"22","江宁区","25"
"23","江北区","24"
"24","金水区","23"
"25","武侯区","22"
"26","上城区","21"
"27","东城区","20"
"28","郫都区","20"
"29","西城区","19"
"30","芙蓉区","19"
"31","南山区","18"
"32","徐汇区","18"
"33","丰台区","18"
"34","黄岛区","17"
"35","市中区","17"
"36","越秀区","17"
"37","南岸区","17"
"38","拱墅区","17"
"39","莲湖区","17"
"40","蜀山区","16"
"41","崂山区","16"
"42","岳麓区","16"
"43","历城区","16"
"44","温江区","16"
"45","雁塔区","15"
"46","古城区","15"
"47","姑苏区","15"
"48","湖里区","15"
"49","新郑市","15"
"50","静安区","14"
"51","秦淮区","14"
"52","南明区","14"
"53","黄陂区","14"
"54","钱塘区","14"
"55","双流区","14"
"56","克拉玛依区","13"
"57","西湖区","13"
"58","小店区","13"
"59","龙华区","13"
"60","青羊区","13"
"61","历下区","13"
"62","番禺区","13"
"63","简阳市","13"
"64","市北区","13"
"65","集美区","12"
"66","惠阳区","12"
"67","包河区","12"
"68","普陀区","11"
"69","和平区","11"
"70","河东区","11"
"71","碑林区","11"
"72","兰山区","11"
"73","离岛区","11"
"74","渭城区","11"
"75","青浦区","10"
"76","市南区","10"
"77","龙岗区","10"
"78","二七区","10"
"79","浦口区","10"
"80","黄浦区","9"
"81","江夏区","9"
"82","甘井子区","9"
"83","栖霞区","9"
"84","官渡区","9"
"85","海珠区","9"
"86","青秀区","9"
"87","余杭区","9"
"88","江岸区","9"
"89","迎泽区","9"
"90","南海区","9"
"91","瑶海区","9"
"92","美兰区","9"
"93","梁园区","9"
"94","虹口区","8"
"95","城关区","8"
"96","李沧区","8"
"97","胶州市","8"
"98","昆山市","8"
"99","吴中区","8"
"100","锦江区","8"
"101","海城区","8"
"102","顺德区","8"
"103","文峰区","8"
"104","临安区","8"
"105","建邺区","8"
"106","雨花区","8"
"107","江汉区","8"
"108","原州区","8"
"109","新城区","8"
"110","常宁市","8"
"111","红花岗区","8"
"112","船山区","8"
"113","宝山区","7"
"114","昌平区","7"
"115","西山区","7"
"116","滨湖区","7"
"117","油尖旺区","7"
"118","槐荫区","7"
"119","洛龙区","7"
"120","未央区","7"
"121","晋江市","7"
"122","长清区","7"
"123","东丽区","7"
"124","永登县","7"
"125","南岗区","6"
"126","中原区","6"
"127","章贡区","6"
"128","金平区","6"
"129","天心区","6"
"130","张店区","6"
"131","天宁区","6"
"132","罗湖区","6"
"133","路桥区","6"
"134","九龙坡区","6"
"135","龙海市","6"
"136","庐阳区","6"
"137","惠城区","6"
"138","邯山区","6"
"139","花都区","6"
"140","东西湖区","6"
"141","龙湾区","6"
"142","宽城区","6"
"143","惠济区","6"
"144","硚口区","6"
"145","宣州区","6"
"146","丛台区","6"
"147","大祥区","6"
"148","东湖区","5"
"149","大理市","5"
"150","卧龙区","5"
"151","开福区","5"
"152","花溪区","5"
"153","泉山区","5"
"154","尖草坪区","5"
"155","盘龙区","5"
"156","泰山区","5"
"157","杏花岭区","5"
"158","武进区","5"
"159","金牛区","5"
"160","西乡塘区","5"
"161","香坊区","5"
"162","邗江区","5"
"163","海曙区","5"
"164","杨浦区","5"
"165","北仑区","5"
"166","滨江区","5"
"167","崇川区","5"
"168","兴宾区","5"
"169","路凼填海区","5"
"170","溧阳市","5"
"171","汉阳区","5"
"172","源城区","5"
"173","武陵区","5"
"174","肥西县","5"
"175","新北区","5"
"176","沙市区","5"
"177","永康市","5"
"178","牡丹区","5"
"179","宁陵县","5"
"180","确山县","5"
"181","固始县","5"
"182","保康县","5"
"183","蒲城县","5"
"184","路北区","5"
"185","万柏林区","5"
"186","兴庆区","5"
"187","吉阳区","4"
"188","竞秀区","4"
"189","裕华区","4"
"190","江南区","4"
"191","中西区","4"
"192","南开区","4"
"193","管城回族区","4"
"194","新建区","4"
"195","嘉定区","4"
"196","金坛区","4"
"197","云岩区","4"
"198","秦都区","4"
"199","通州区","4"
"200","老城区","4"
"201","蔡甸区","4"
"202","仓山区","4"
"203","茅箭区","4"
"204","宝塔区","4"
"205","岱岳区","4"
"206","驿城区","4"
"207","青山湖区","4"
"208","三河市","4"
"209","平遥县","4"
"210","万州区","4"
"211","道里区","4"
"212","望城区","4"
"213","环翠区","4"
"214","莲都区","4"
"215","汇川区","4"
"216","镇安县","4"
"217","浏阳市","4"
"218","安吉县","4"
"219","五华区","4"
"220","婺城区","4"
"221","观山湖区","4"
"222","柳北区","4"
"223","镜湖区","4"
"224","浑南区","4"
"225","峨山彝族自治县","4"
"226","襄州区","4"
"227","宛城区","4"
"228","隆阳区","4"
"229","越城区","4"
"230","舞阳县","4"
"231","岳塘区","4"
"232","津市市","4"
"233","南谯区","4"
"234","埇桥区","4"
"235","鄠邑区","4"
"236","东方市","4"
"237","香洲区","4"
"238","雷州市","4"
"239","开平市","4"
"240","余庆县","4"
"241","瓯海区","3"
"242","荔湾区","3"
"243","怀柔区","3"
"244","丰泽区","3"
"245","平城区","3"
"246","乳山市","3"
"247","兴宁区","3"
"248","长沙县","3"
"249","铜梁区","3"
"250","南昌县","3"
"251","台江区","3"
"252","石景山区","3"
"253","屯溪区","3"
"254","门头沟区","3"
"255","桥西区","3"
"256","广阳区","3"
"257","雨花台区","3"
"258","沈河区","3"
"259","台山市","3"
"260","南沙区","3"
"261","余姚市","3"
"262","双台子区","3"
"263","琼山区","3"
"264","芝罘区","3"
"265","襄都区","3"
"266","北关区","3"
"267","涧西区","3"
"268","南湖区","3"
"269","滨城区","3"
"270","开州区","3"
"271","乐昌市","3"
"272","赛罕区","3"
"273","松江区","3"
"274","垫江县","3"
"275","龙亭区","3"
"276","田家庵区","3"
"277","卢龙县","3"
"278","柳南区","3"
"279","盐田区","3"
"280","广安区","3"
"281","叠彩区","3"
"282","景洪市","3"
"283","西岗区","3"
"284","诸城市","3"
"285","兰陵县","3"
"286","黄埔区","3"
"287","武陟县","3"
"288","禹会区","3"
"289","花山区","3"
"290","中山区","3"
"291","进贤县","3"
"292","博罗县","3"
"293","成安县","3"
"294","武隆区","3"
"295","汤阴县","3"
"296","仁和区","3"
"297","涪城区","3"
"298","潞州区","3"
"299","大竹县","3"
"300","桐庐县","3"
"301","平山县","3"
"302","金湾区","3"
"303","山城区","3"
"304","惠安县","3"
"305","高碑店市","3"
"306","松桃苗族自治县","3"
"307","南岳区","3"
"308","和县","3"
"309","郊区","3"
"310","洪江市","3"
"311","茌平区","3"
"312","高要区","3"
"313","濠江区","3"
"314","弋江区","3"
"315","荔波县","3"
"316","鹿泉区","3"
"317","秦安县","3"
"318","钟楼区","3"
"319","曾都区","3"
"320","曲阜市","3"
"321","蕉城区","3"
"322","怀集县","3"
"323","奉贤区","3"
"324","卫东区","3"
"325","芦淞区","3"
"326","鹿城区","3"
"327","川汇区","3"
"328","蓬江区","3"
"329","花王堂区","3"
"330","义乌市","3"
"331","邓州市","3"
"332","霞山区","3"
"333","双清区","3"
"334","文山市","3"
"335","滕州市","3"
"336","镇平县","3"
"337","陆良县","3"
"338","临渭区","2"
"339","皇姑区","2"
"340","忻府区","2"
"341","闽侯县","2"
"342","鄂城区","2"
"343","祁阳市","2"
"344","阳朔县","2"
"345","沙田区","2"
"346","城厢区","2"
"347","青州市","2"
"348","斗门区","2"
"349","鲤城区","2"
"350","秀英区","2"
"351","新都区","2"
"352","润州区","2"
"353","凤凰县","2"
"354","澄海区","2"
"355","普宁市","2"
"356","成华区","2"
"357","崇礼区","2"
"358","房山区","2"
"359","长寿区","2"
"360","鱼峰区","2"
"361","昌乐县","2"
"362","铁东区","2"
"363","巴南区","2"
"364","沙依巴克区","2"
"365","天桥区","2"
"366","临潼区","2"
"367","江阳区","2"
"368","黔江区","2"
"369","江城区","2"
"370","津南区","2"
"371","建德市","2"
"372","都江堰市","2"
"373","萨尔图区","2"
"374","西青区","2"
"375","薛城区","2"
"376","临沭县","2"
"377","大堂区","2"
"378","东昌府区","2"
"379","沙河口区","2"
"380","习水县","2"
"381","尧都区","2"
"382","阿拉善左旗","2"
"383","九龙城区","2"
"384","北湖区","2"
"385","淳安县","2"
"386","榕城区","2"
"387","蓝田县","2"
"388","锡山区","2"
"389","榆阳区","2"
"390","荔城区","2"
"391","汝州市","2"
"392","玉龙纳西族自治县","2"
"393","惠东县","2"
"394","湘潭县","2"
"395","福清市","2"
"396","北碚区","2"
"397","红桥区","2"
"398","二道区","2"
"399","玉泉区","2"
"400","宁化县","2"
"401","龙泉驿区","2"
"402","深水埗区","2"
"403","灯塔市","2"
"404","文登区","2"
"405","平阳县","2"
"406","珠山区","2"
"407","石台县","2"
"408","喀什市","2"
"409","敦化市","2"
"410","涞水县","2"
"411","常熟市","2"
"412","平桥区","2"
"413","连山区","2"
"414","塔城市","2"
"415","海港区","2"
"416","石狮市","2"
"417","寿县","2"
"418","夷陵区","2"
"419","莱西市","2"
"420","正定县","2"
"421","灵武市","2"
"422","遂溪县","2"
"423","长乐区","2"
"424","平度市","2"
"425","金州区","2"
"426","金凤区","2"
"427","章丘区","2"
"428","嘉祥县","2"
"429","新市区","2"
"430","南川区","2"
"431","海陵区","2"
"432","岳阳楼区","2"
"433","中牟县","2"
"434","同安区","2"
"435","什邡市","2"
"436","禅城区","2"
"437","雨城区","2"
"438","仁寿县","2"
"439","大渡口区","2"
"440","林州市","2"
"441","达川区","2"
"442","纳溪区","2"
"443","临泉县","2"
"444","单县","2"
"445","延吉市","2"
"446","任城区","2"
"447","绩溪县","2"
"448","泗县","2"
"449","临海市","2"
"450","洛南县","2"
"451","祁东县","2"
"452","济阳区","2"
"453","宁江区","2"
"454","麻章区","2"
"455","兰溪市","2"
"456","冠县","2"
"457","钟祥市","2"
"458","新密市","2"
"459","丰满区","2"
"460","攸县","2"
"461","嘉陵区","2"
"462","吴江区","2"
"463","沂源县","2"
"464","宜章县","2"
"465","四会市","2"
"466","清镇市","2"
"467","恩阳区","2"
"468","永定区","2"
"469","团风县","2"
"470","沛县","2"
"471","金安区","2"
"472","临武县","2"
"473","平和县","2"
"474","泽州县","2"
"475","衡东县","2"
"476","灞桥区","2"
"477","巴州区","2"
"478","平原县","2"
"479","城东区","2"
"480","清城区","2"
"481","漳平市","2"
"482","沅江市","2"
"483","诸暨市","2"
"484","东阳市","2"
"485","文昌市","2"
"486","安宁市","2"
"487","夏邑县","2"
"488","宣威市","2"
"489","定远县","2"
"490","苏仙区","2"
"491","桂东县","2"
"492","溧水区","2"
"493","五峰土家族自治县","2"
"494","港北区","2"
"495","会理市","2"
"496","灵璧县","2"
"497","合浦县","2"
"498","通海县","2"
"499","眉县","2"
"500","康平县","2"
"501","光山县","2"
"502","彭水苗族土家族自治县","2"
"503","肥东县","2"
"504","大安区","2"
"505","永城市","2"
"506","吴兴区","2"
"507","平陆县","2"
"508","海棠区","2"
"509","鸠江区","2"
"510","盱眙县","2"
"511","湖滨区","2"
"512","莲池区","2"
"513","七里河区","2"
"514","郯城县","2"
"515","天门市","2"
"516","鄞州区","2"
"517","新洲区","2"
"518","祥符区","2"
"519","东港区","2"
"520","松山区","2"
"521","峰峰矿区","2"
"522","宁海县","2"
"523","綦江区","2"
"524","长葛市","2"
"525","阳春市","2"
"526","平舆县","2"
"527","金山区","2"
"528","道真仡佬族苗族自治县","2"
"529","保靖县","2"
"530","桐柏县","2"
"531","奎文区","2"
"532","孝义市","2"
"533","淇滨区","2"
"534","冷水滩区","2"
"535","赫山区","2"
"536","娄星区","2"
"537","云龙区","2"
"538","凌源市","2"
"539","太仓市","2"
"540","武山县","2"
"541","会泽县","2"
"542","周村区","2"
"543","迁安市","2"
"544","坊子区","2"
"545","小金县","2"
"546","赤城县","1"
"547","晋城区","1"
"548","浔阳区","1"
"549","杨陵区","1"
"550","西夏区","1"
"551","平谷区","1"
"552","北辰区","1"
"553","南康区","1"
"554","忠县","1"
"555","青山区","1"
"556","泸水市","1"
"557","绥中县","1"
"558","新津区","1"
"559","双塔区","1"
"560","天涯区","1"
"561","城北区","1"
"562","庐江县","1"
"563","红塔区","1"
"564","凯里市","1"
"565","平乡县","1"
"566","中宁县","1"
"567","克什克腾旗","1"
"568","颍东区","1"
"569","龙文区","1"
"570","南关区","1"
"571","东营区","1"
"572","建水县","1"
"573","虞城县","1"
"574","合川区","1"
"575","慈溪市","1"
"576","海沧区","1"
"577","永顺县","1"
"578","璧山区","1"
"579","丘北县","1"
"580","黃大仙区","1"
"581","清新区","1"
"582","甘州区","1"
"583","罗定市","1"
"584","桓仁满族自治县","1"
"585","梁溪区","1"
"586","清江浦区","1"
"587","河西区","1"
"588","武清区","1"
"589","利津县","1"
"590","曹妃甸区","1"
"591","蓟州区","1"
"592","安福县","1"
"593","端州区","1"
"594","蒸湘区","1"
"595","隆化县","1"
"596","嘉善县","1"
"597","雁山区","1"
"598","青阳县","1"
"599","加格达奇区","1"
"600","涪陵区","1"
"601","秀洲区","1"
"602","水城区","1"
"603","威远县","1"
"604","勐腊县","1"
"605","红旗区","1"
"606","旅顺口区","1"
"607","龙山县","1"
"608","嵩县","1"
"609","色尼区","1"
"610","秦州区","1"
"611","伊宁市","1"
"612","长垣市","1"
"613","江口县","1"
"614","贾汪区","1"
"615","德城区","1"
"616","南浔区","1"
"617","牟平区","1"
"618","武夷山市","1"
"619","凤泉区","1"
"620","八步区","1"
"621","城口县","1"
"622","漳浦县","1"
"623","米东区","1"
"624","平川区","1"
"625","滨海新区","1"
"626","永吉县","1"
"627","潍城区","1"
"628","西峡县","1"
"629","龙潭区","1"
"630","芗城区","1"
"631","龙口市","1"
"632","江油市","1"
"633","白塔区","1"
"634","巴林左旗","1"
"635","兴化市","1"
"636","庐山市","1"
"637","梁平区","1"
"638","邹平市","1"
"639","海原县","1"
"640","承德县","1"
"641","鲁甸县","1"
"642","爱民区","1"
"643","坪山区","1"
"644","江都区","1"
"645","茂县","1"
"646","富顺县","1"
"647","乐都区","1"
"648","密山市","1"
"649","七星区","1"
"650","头屯河区","1"
"651","站前区","1"
"652","阳明区","1"
"653","城中区","1"
"654","荥阳市","1"
"655","伊美区","1"
"656","湟中区","1"
"657","金川区","1"
"658","苍溪县","1"
"659","电白区","1"
"660","句容市","1"
"661","麦积区","1"
"662","水磨沟区","1"
"663","潼南区","1"
"664","北戴河区","1"
"665","塔什库尔干塔吉克自治县","1"
"666","昌江黎族自治县","1"
"667","琼中黎族苗族自治县","1"
"668","佛冈县","1"
"669","光明区","1"
"670","宁远县","1"
"671","顺庆区","1"
"672","平江县","1"
"673","犍为县","1"
"674","元朗区","1"
"675","平安区","1"
"676","砀山县","1"
"677","昌邑区","1"
"678","嘉模堂区","1"
"679","揭东区","1"
"680","华坪县","1"
"681","桥东区","1"
"682","凌河区","1"
"683","东至县","1"
"684","南召县","1"
"685","辉县市","1"
"686","临桂区","1"
"687","象州县","1"
"688","禄丰市","1"
"689","尉犁县","1"
"690","巩留县","1"
"691","永平县","1"
"692","荣昌区","1"
"693","徽县","1"
"694","鹤山区","1"
"695","浚县","1"
"696","察哈尔右翼前旗","1"
"697","东安区","1"
"698","宝丰县","1"
"699","渭滨区","1"
"700","荆州区","1"
"701","格尔木市","1"
"702","杜集区","1"
"703","浉河区","1"
"704","榆树市","1"
"705","六合区","1"
"706","双桥区","1"
"707","沾化区","1"
"708","神木市","1"
"709","梨树县","1"
"710","昆都仑区","1"
"711","谯城区","1"
"712","宝坻区","1"
"713","寿宁县","1"
"714","前郭尔罗斯蒙古族自治县","1"
"715","鹤城区","1"
"716","紫金县","1"
"717","抚宁区","1"
"718","肇东市","1"
"719","铜鼓县","1"
"720","兰考县","1"
"721","临河区","1"
"722","双辽市","1"
"723","侯马市","1"
"724","宁乡市","1"
"725","宁陕县","1"
"726","上栗县","1"
"727","双滦区","1"
"728","赫章县","1"
"729","汪清县","1"
"730","玉屏侗族自治县","1"
"731","霍山县","1"
"732","芮城县","1"
"733","龙门县","1"
"734","屯昌县","1"
"735","青原区","1"
"736","岳西县","1"
"737","盐池县","1"
"738","桃源县","1"
"739","西充县","1"
"740","原阳县","1"
"741","郸城县","1"
"742","南陵县","1"
"743","阳新县","1"
"744","通榆县","1"
"745","桐乡市","1"
"746","阳山县","1"
"747","土默特左旗","1"
"748","云县","1"
"749","五华县","1"
"750","大名县","1"
"751","桐城市","1"
"752","博山区","1"
"753","潜山市","1"
"754","无棣县","1"
"755","长丰县","1"
"756","黄州区","1"
"757","龙川县","1"
"758","新兴县","1"
"759","麒麟区","1"
"760","罗平县","1"
"761","沁水县","1"
"762","繁昌区","1"
"763","信都区","1"
"764","龙圩区","1"
"765","利川市","1"
"766","靖宇县","1"
"767","勉县","1"
"768","安岳县","1"
"769","晴隆县","1"
"770","金堂县","1"
"771","沙河市","1"
"772","和林格尔县","1"
"773","东平县","1"
"774","潞城区","1"
"775","务川仡佬族苗族自治县","1"
"776","南漳县","1"
"777","修武县","1"
"778","遂昌县","1"
"779","衢江区","1"
"780","卓资县","1"
"781","太和县","1"
"782","竹山县","1"
"783","邵东市","1"
"784","秀峰区","1"
"785","资兴市","1"
"786","点军区","1"
"787","佳县","1"
"788","泾阳县","1"
"789","临江市","1"
"790","昌宁县","1"
"791","昌吉市","1"
"792","辰溪县","1"
"793","永安市","1"
"794","鹿邑县","1"
"795","梅江区","1"
"796","泾县","1"
"797","阎良区","1"
"798","贺兰县","1"
"799","长阳土家族自治县","1"
"800","高港区","1"
"801","播州区","1"
"802","木垒哈萨克自治县","1"
"803","泽普县","1"
"804","凤台县","1"
"805","广德市","1"
"806","灵寿县","1"
"807","崇义县","1"
"808","龙海区","1"
"809","灵川县","1"
"810","肇州县","1"
"811","玉环市","1"
"812","张湾区","1"
"813","长白朝鲜族自治县","1"
"814","惠民县","1"
"815","南宫市","1"
"816","绵竹市","1"
"817","呼兰区","1"
"818","上林县","1"
"819","金东区","1"
"820","睢阳区","1"
"821","阿克陶县","1"
"822","颍上县","1"
"823","烈山区","1"
"824","桂平市","1"
"825","安阳县","1"
"826","莱芜区","1"
"827","海安市","1"
"828","孝南区","1"
"829","固镇县","1"
"830","启东市","1"
"831","乐陵市","1"
"832","萧县","1"
"833","永川区","1"
"834","内乡县","1"
"835","沁阳市","1"
"836","巧家县","1"
"837","红谷滩区","1"
"838","义安区","1"
"839","从化区","1"
"840","磐安县","1"
"841","永嘉县","1"
"842","西区","1"
"843","越西县","1"
"844","含山县","1"
"845","罗田县","1"
"846","北川羌族自治县","1"
"847","桓台县","1"
"848","五原县","1"
"849","平鲁区","1"
"850","海城市","1"
"851","揭西县","1"
"852","江津区","1"
"853","大东区","1"
"854","葵青区","1"
"855","平阴县","1"
"856","张家港市","1"
"857","登封市","1"
"858","汉台区","1"
"859","梓潼县","1"
"860","甘泉县","1"
"861","铁西区","1"
"862","商南县","1"
"863","宁都县","1"
"864","连江县","1"
"865","深州市","1"
"866","杜尔伯特蒙古族自治县","1"
"867","立山区","1"
"868","潮安区","1"
"869","观塘区","1"
"870","红安县","1"
"871","枞阳县","1"
"872","郧阳区","1"
"873","仙桃市","1"
"874","齐河县","1"
"875","颍州区","1"
"876","万华区","1"
"877","道外区","1"
"878","怀宁县","1"
"879","琼海市","1"
"880","相山区","1"
"881","方城县","1"
"882","濉溪县","1"
"883","颍泉区","1"
"884","增城区","1"
"885","桃城区","1"
"886","江阴市","1"
"887","河间市","1"
"888","隆回县","1"
"889","大观区","1"
"890","邵阳县","1"
"891","龙沙区","1"
"892","蒙山县","1"
"893","涿州市","1"
"894","雨湖区","1"
"895","钦北区","1"
"896","遂平县","1"
"897","九原区","1"
"898","大足区","1"
"899","青川县","1"
"900","晋宁区","1"
"901","炎陵县","1"
"902","禹城市","1"
"903","云安区","1"
"904","盘山县","1"
"905","宾阳县","1"
"906","陵城区","1"
"907","湾里区","1"
"908","醴陵市","1"
"909","清河县","1"
"910","梅县区","1"
"911","陕州区","1"
"912","长宁县","1"
"913","剑阁县","1"
"914","陈仓区","1"
"915","白河县","1"
"916","开平区","1"
"917","安宁区","1"
"918","珠晖区","1"
"919","海州区","1"
"920","桦南县","1"
"921","潘集区","1"
"922","鄢陵县","1"
"923","长泰县","1"
"924","贵池区","1"
"925","樊城区","1"
"926","合作市","1"
"927","晋安区","1"
"928","游仙区","1"
"929","微山县","1"
"930","潢川县","1"
"931","滦州市","1"
"932","平湖市","1"
"933","阜南县","1"
"934","麻阳苗族自治县","1"
"935","兖州区","1"
"936","乐平市","1"
"937","渌口区","1"
"938","柘城县","1"
"939","上虞区","1"
"940","澧县","1"
"941","海门区","1"
"942","如皋市","1"
"943","铁锋区","1"
"944","崇阳县","1"
"945","会理县","1"
"946","殷都区","1"
"947","襄城县","1"
"948","庄浪县","1"
"949","会同县","1"
"950","振兴区","1"
"951","洪雅县","1"
"952","禹州市","1"
"953","翔安区","1"
"954","洞口县","1"
"955","平山区","1"
"956","通山县","1"
"957","龙湖区","1"
"958","博白县","1"
"959","馆陶县","1"
"960","瑞金市","1"
"961","阿拉尔市","1"
"962","东宁市","1"
"963","下陆区","1"
"964","西昌市","1"
"965","乐清市","1"
"966","宜城市","1"
"967","鼎城区","1"
"968","温岭市","1"
"969","都匀市","1"
"970","衡南县","1"
"971","北票市","1"
"972","德清县","1"
"973","安仁县","1"
"974","城西区","1"
"975","宁津县","1"
"976","集宁区","1"
"977","彭州市","1"
"978","夏津县","1"
"979","桦甸市","1"
"980","盖州市","1"
"981","东区","1"
"982","玉田县","1"
"983","黄骅市","1"
"984","惠农区","1"
"985","道县","1"
"986","钢城区","1"
"987","固阳县","1"
"988","利州区","1"
"989","东源县","1"
"990","师宗县","1"
"991","镇康县","1"
"992","武邑县","1"
"993","袁州区","1"
"994","大方县","1"
"995","玉门市","1"
"996","赤坎区","1"
"997","博爱县","1"
"998","巴楚县","1"
"999","大姚县","1"
"1000","城区","1"
"1001","崇仁县","1"
"1002","牧野区","1"
"1003","大埔县","1"
"1004","永胜县","1"
"1005","云溪区","1"
"1006","双牌县","1"
"1007","涉县","1"
"1008","广宁县","1"
"1009","南丰县","1"
"1010","富阳区","1"
"1011","黄山区","1"
"1012","莒南县","1"
"1013","沿滩区","1"
"1014","德庆县","1"
"1015","西秀区","1"
"1016","黄石港区","1"
"1017","阳谷县","1"
"1018","蛟河市","1"
"1019","固安县","1"
"1020","福绵区","1"
"1021","京口区","1"
"1022","济源市","1"
"1023","丹棱县","1"
"1024","巩义市","1"
"1025","广水市","1"
"1026","兴仁市","1"
"1027","镇雄县","1"
"1028","翁牛特旗","1"
"1029","西工区","1"
"1030","龙安区","1"
"1031","泊头市","1"
"1032","渝水区","1"
"1033","于洪区","1"
"1034","细河区","1"
"1035","康乐县","1"
"1036","彭泽县","1"
"1037","碧江区","1"
"1038","天元区","1"
"1039","利辛县","1"
"1040","鹿寨县","1"
"1041","西陵区","1"
"1042","昌黎县","1"
"1043","廉江市","1"
"1044","永兴县","1"
"1045","掇刀区","1"
"1046","振安区","1"
"1047","双城区","1"
"1048","中阳县","1"
"1049","杞县","1"
"1050","昌图县","1"
"1051","融水苗族自治县","1"
"1052","民权县","1"
"1053","长兴县","1"
"1054","湾沚区","1"
"1055","正安县","1"
"1056","蓬安县","1"
"1057","罗源县","1"
"1058","相城区","1"
"1059","南雄市","1"
"1060","泸县","1"
"1061","丹徒区","1"
"1062","万秀区","1"
"1063","涡阳县","1"
"1064","巍山彝族回族自治县","1"
"1065","东光县","1"
"1066","汝阳县","1"
"1067","淮安区","1"
"1068","耀州区","1"
"1069","大丰区","1"
"1070","铜官区","1"
"1071","五河县","1"
"1072","通川区","1"
"1073","凤庆县","1"
"1074","肃北蒙古族自治县","1"
"1075","瓜州县","1"
"1076","建湖县","1"
"1077","库车市","1"
"1078","禹王台区","1"
