"province","city","count"
"广东省","广州市","162"
"湖北省","武汉市","144"
"浙江省","杭州市","128"
"四川省","成都市","122"
"江苏省","南京市","119"
"广东省","深圳市","116"
"陕西省","西安市","83"
"山东省","青岛市","80"
"河南省","郑州市","71"
"湖南省","长沙市","66"
"山东省","济南市","65"
"福建省","厦门市","58"
"安徽省","合肥市","52"
"贵州省","贵阳市","46"
"江苏省","苏州市","39"
"山西省","太原市","37"
"江苏省","常州市","28"
"云南省","昆明市","28"
"河北省","石家庄市","26"
"江西省","南昌市","25"
"广东省","惠州市","24"
"广西壮族自治区","南宁市","23"
"贵州省","遵义市","23"
"福建省","福州市","22"
"河南省","商丘市","22"
"河南省","南阳市","21"
"浙江省","宁波市","21"
"辽宁省","大连市","20"
"山东省","临沂市","20"
"河北省","邯郸市","20"
"辽宁省","沈阳市","19"
"云南省","丽江市","19"
"吉林省","长春市","19"
"河南省","安阳市","19"
"广东省","佛山市","19"
"黑龙江省","哈尔滨市","18"
"湖南省","衡阳市","18"
"浙江省","金华市","18"
"陕西省","咸阳市","17"
"福建省","泉州市","17"
"海南省","海口市","17"
"河南省","洛阳市","17"
"浙江省","温州市","16"
"广东省","东莞市","15"
"甘肃省","兰州市","15"
"新疆维吾尔自治区","克拉玛依市","13"
"福建省","漳州市","13"
"湖南省","郴州市","13"
"广东省","湛江市","13"
"湖南省","邵阳市","13"
"河北省","保定市","12"
"江苏省","徐州市","12"
"山东省","潍坊市","12"
"广东省","汕头市","12"
"广西壮族自治区","柳州市","12"
"山东省","淄博市","12"
"河南省","驻马店市","12"
"湖南省","常德市","12"
"安徽省","芜湖市","12"
"湖北省","襄阳市","12"
"宁夏回族自治区","银川市","11"
"江苏省","无锡市","11"
"河北省","唐山市","11"
"广东省","肇庆市","11"
"河南省","开封市","11"
"河南省","信阳市","11"
"江西省","赣州市","10"
"广西壮族自治区","桂林市","10"
"广西壮族自治区","北海市","10"
"山东省","泰安市","10"
"广东省","江门市","10"
"浙江省","台州市","10"
"山东省","德州市","10"
"安徽省","宿州市","10"
"安徽省","宣城市","10"
"云南省","曲靖市","10"
"山东省","威海市","9"
"广东省","珠海市","9"
"内蒙古自治区","呼和浩特市","9"
"浙江省","湖州市","9"
"江苏省","南通市","9"
"山东省","济宁市","9"
"湖南省","株洲市","9"
"河北省","邢台市","8"
"安徽省","阜阳市","8"
"河北省","廊坊市","8"
"山东省","聊城市","8"
"河北省","秦皇岛市","8"
"宁夏回族自治区","固原市","8"
"广东省","河源市","8"
"四川省","遂宁市","8"
"陕西省","渭南市","7"
"海南省","三亚市","7"
"云南省","大理白族自治州","7"
"湖南省","永州市","7"
"云南省","玉溪市","7"
"新疆维吾尔自治区","乌鲁木齐市","7"
"湖北省","十堰市","7"
"浙江省","嘉兴市","7"
"山东省","滨州市","7"
"广东省","中山市","7"
"安徽省","淮南市","7"
"甘肃省","天水市","7"
"湖南省","湘潭市","7"
"吉林省","吉林市","7"
"四川省","绵阳市","7"
"陕西省","商洛市","7"
"安徽省","马鞍山市","7"
"湖北省","宜昌市","7"
"山东省","菏泽市","7"
"河南省","鹤壁市","7"
"浙江省","绍兴市","7"
"湖南省","怀化市","7"
"湖南省","湘西土家族苗族自治州","6"
"广东省","揭阳市","6"
"江苏省","扬州市","6"
"河南省","新乡市","6"
"贵州省","铜仁市","6"
"河南省","平顶山市","6"
"广西壮族自治区","来宾市","6"
"河南省","焦作市","6"
"吉林省","延边朝鲜族自治州","6"
"湖北省","荆州市","6"
"四川省","达州市","6"
"安徽省","滁州市","6"
"青海省","西宁市","5"
"内蒙古自治区","赤峰市","5"
"江苏省","镇江市","5"
"山东省","烟台市","5"
"广东省","清远市","5"
"四川省","泸州市","5"
"陕西省","延安市","5"
"山东省","枣庄市","5"
"安徽省","池州市","5"
"浙江省","丽水市","5"
"江苏省","泰州市","5"
"新疆维吾尔自治区","喀什地区","5"
"安徽省","蚌埠市","5"
"四川省","南充市","5"
"四川省","乐山市","5"
"四川省","攀枝花市","5"
"云南省","保山市","5"
"湖北省","黄冈市","5"
"安徽省","铜陵市","5"
"安徽省","安庆市","5"
"河南省","周口市","5"
"四川省","凉山彝族自治州","5"
"河南省","许昌市","5"
"河北省","张家口市","4"
"山西省","晋城市","4"
"内蒙古自治区","包头市","4"
"福建省","莆田市","4"
"辽宁省","朝阳市","4"
"安徽省","黄山市","4"
"云南省","文山壮族苗族自治州","4"
"辽宁省","鞍山市","4"
"辽宁省","盘锦市","4"
"广东省","阳江市","4"
"江苏省","淮安市","4"
"黑龙江省","大庆市","4"
"广东省","韶关市","4"
"河北省","承德市","4"
"山西省","晋中市","4"
"云南省","西双版纳傣族自治州","4"
"陕西省","榆林市","4"
"黑龙江省","牡丹江市","4"
"四川省","自贡市","4"
"四川省","广元市","4"
"湖南省","岳阳市","4"
"山西省","长治市","4"
"四川省","眉山市","4"
"陕西省","宝鸡市","4"
"安徽省","淮北市","4"
"福建省","宁德市","4"
"河南省","漯河市","4"
"四川省","巴中市","4"
"湖南省","益阳市","4"
"广东省","梅州市","4"
"贵州省","黔南布依族苗族自治州","4"
"湖北省","随州市","4"
"河北省","沧州市","4"
"江西省","九江市","3"
"山西省","大同市","3"
"辽宁省","葫芦岛市","3"
"广东省","云浮市","3"
"西藏自治区","拉萨市","3"
"山西省","临汾市","3"
"四川省","广安市","3"
"辽宁省","辽阳市","3"
"云南省","昭通市","3"
"四川省","阿坝藏族羌族自治州","3"
"江西省","景德镇市","3"
"四川省","德阳市","3"
"内蒙古自治区","乌兰察布市","3"
"安徽省","亳州市","3"
"吉林省","松原市","3"
"湖北省","荆门市","3"
"安徽省","六安市","3"
"山西省","运城市","3"
"湖北省","黄石市","3"
"云南省","临沧市","3"
"广西壮族自治区","梧州市","3"
"吉林省","白山市","3"
"广西壮族自治区","贵港市","3"
"河南省","三门峡市","3"
"河北省","衡水市","3"
"山西省","吕梁市","3"
"甘肃省","酒泉市","3"
"山西省","忻州市","2"
"湖北省","鄂州市","2"
"宁夏回族自治区","中卫市","2"
"山东省","东营市","2"
"辽宁省","本溪市","2"
"江西省","吉安市","2"
"内蒙古自治区","阿拉善盟","2"
"新疆维吾尔自治区","伊犁哈萨克自治州","2"
"福建省","三明市","2"
"贵州省","安顺市","2"
"青海省","海东市","2"
"辽宁省","营口市","2"
"新疆维吾尔自治区","塔城地区","2"
"四川省","雅安市","2"
"云南省","楚雄彝族自治州","2"
"吉林省","四平市","2"
"江西省","宜春市","2"
"内蒙古自治区","巴彦淖尔市","2"
"陕西省","安康市","2"
"湖南省","张家界市","2"
"贵州省","毕节市","2"
"福建省","龙岩市","2"
"陕西省","汉中市","2"
"贵州省","黔西南布依族苗族自治州","2"
"新疆维吾尔自治区","昌吉回族自治州","2"
"广东省","东菀市","2"
"台湾省","台北市","2"
"黑龙江省","佳木斯市","2"
"山东省","日照市","2"
"黑龙江省","齐齐哈尔市","2"
"辽宁省","阜新市","2"
"湖北省","咸宁市","2"
"辽宁省","丹东市","2"
"广西壮族自治区","玉林市","2"
"湖南省","娄底市","2"
"江西省","抚州市","2"
"江苏省","盐城市","2"
"云南省","怒江傈僳族自治州","1"
"贵州省","黔东南苗族侗族自治州","1"
"云南省","红河哈尼族彝族自治州","1"
"甘肃省","张掖市","1"
"黑龙江省","大兴安岭地区","1"
"贵州省","六盘水市","1"
"四川省","内江市","1"
"西藏自治区","那曲市","1"
"福建省","南平市","1"
"广西壮族自治区","贺州市","1"
"甘肃省","白银市","1"
"黑龙江省","鸡西市","1"
"黑龙江省","伊春市","1"
"甘肃省","金昌市","1"
"广东省","茂名市","1"
"辽宁省","锦州市","1"
"新疆维吾尔自治区","巴音郭楞蒙古自治州","1"
"甘肃省","陇南市","1"
"青海省","海西蒙古族藏族自治州","1"
"黑龙江省","绥化市","1"
"江西省","萍乡市","1"
"宁夏回族自治区","吴忠市","1"
"吉林省","白城市","1"
"湖北省","恩施土家族苗族自治州","1"
"四川省","资阳市","1"
"浙江省","衢州市","1"
"黑龙江省","双鸭山市","1"
"新疆维吾尔自治区","克孜勒苏柯尔克孜自治州","1"
"湖北省","孝感市","1"
"山西省","朔州市","1"
"广东省","潮州市","1"
"广西壮族自治区","钦州市","1"
"四川省","宜宾市","1"
"甘肃省","甘南藏族自治州","1"
"甘肃省","平凉市","1"
"宁夏回族自治区","石嘴山市","1"
"山西省","阳泉市","1"
"江西省","新余市","1"
"甘肃省","临夏回族自治州","1"
"辽宁省","铁岭市","1"
"陕西省","铜川市","1"
"新疆维吾尔自治区","阿克苏地区","1"
